Company Name,Company ID,Company Type,Origin,Is Subsidiary,Parent,Property Name,Also Known As,Property ID,Royalty,Equity,Controlling Ownership,Operator,Country/ Region,Country/Region Risk Score & Outlook,Development Stage,Status,Commodity(s),Primary Commodity,Primary Reserves and Resources,Unit,Total In-Situ Value ($M),Reserves & Resources As Of Date,Project Type,Coordinates,Coordinate Accuracy,Map Link,Construction Start,Production Start,Closure ,Sources/Notes
Midas Minerals Limited,556901558,Public,Australia,No,Midas Minerals Limited,Greenbush,"Barbara, Barbara Lake, Greenbush Lake",77637,,100.0,100,Midas Minerals Ldt.,Canada,1.4 Moderate,Exploration,Active,"Lithium, Spodumene",Lithium,,,,,Project,"50.957880,-90.233280",Exact,,,,,
Millennial Lithium Corp.,29345647,Private,Canada,Yes,Lithium Americas (Argentina) Corp./ Lithium Argentina AG,Cauchari East,Cauchari,81374,,100.0,100,Millennial Lithium Corp.,Argentina,2.7 High,Exploration,Active,Lithium,Lithium,,,,,Project,"-23.670080,-66.627320",Exact,,,,,
MinRex Resources Limited,139066482,Public,Australia,No,MinRex Resources Limited,Marble Bar,"Betty Boo, E45/5869, E45/5871, E45/5873, Garden Creek, Ironclad, Jo Jo North, Marble Bar North, Marble Bar South, McKays Find, Old McKays Find, P45/3039, P45/3040, Sisters, Talga",81502,,70.0,70,MinRex Resources Ltd.,Australia,1.4 Moderate,Exploration,Active,"Lithium, Gold",Lithium,,,,,Project,"-21.110370,119.826640",Exact,,,,,
MinRex Resources Limited,139066482,Public,Australia,No,MinRex Resources Limited,Pilbara,"Coondina, Coondina South, E45/1381, E45/4266, E45/4601, E45/4953, E45/5850, E45/5871, E45/5873, E45/6186, E46/1380, E46/1477, E46/1503, E46/1504, E46/4601, East Pilbara, EL45/5869, Garden Creek, Garden Well, Goldilocks, Haystack Well, Marble Bar, Moolyella, Moolyella North, North Moolyella, Old Shaw, Russian Jack, Shaw River, Sisters, Talga, Talga Moolyella, Talga-Moolyella, Tambourah, Tambourah Creek, Tambourah North, Tambourah Nth, Twin Wells",88907,,100.0,100,MinRex Resources Ltd.,Australia,1.4 Moderate,Target Outline,Active,"Lithium, Tin, Tantalum, Caesium, Niobium, Rubidium, Lanthanides",Lithium,,,,,Project,"-21.901540,119.384900",Exact,,,,,
Gold Strategy Inc.,876450,Public,Australia,Yes,Instant Finance And Consulting AG,Chubb,"Central Main Dyke, Chubb Central, Chubb North, Dyke #2, Dyke #3, Eastern Dyke, Main Dyke, Western Dyke",59387,1.0,0.0,0,Burley Minerals Ltd.,Canada,1.4 Moderate,Target Outline,Active,"Lithium, Rubidium, Caesium, Tantalum",Lithium,,,,,Project,"48.305180,-77.957600",Exact,,,,,
Gold Strategy Inc.,876450,Public,Australia,Yes,Instant Finance And Consulting AG,Bouvier,,59623,1.0,0.0,0,Mining Equities Pty Ltd,Canada,1.4 Moderate,Target Outline,Active,Lithium,Lithium,11431.0,tonnes,185.3,12/31/1979,Project,"48.451820,-78.097640",Exact,,,,,
Mineral Resources Limited,27871534,Public,Australia,No,Mineral Resources Limited,Wodgina,"Atlas, Cassiterite, Kemerton, M45/353, M45/383, M45/50, M45/887, Mt Tinstone, North Hill, TSF1, TSF2, TSF3, Wodgina TSF3, Wodina",78512,,50.0,50,Mineral Resources Ltd.,Australia,1.4 Moderate,Operating,Active,"Lithium, Spodumene, Iron Ore, Tantalum",Lithium,2060000.0,tonnes,33388.5,12/31/23,"Open Pit, Tailings","-21.190960,118.674260",Exact,,,2017,2047,
Mineral Resources Limited,27871534,Public,Australia,No,Mineral Resources Limited,Mount Marion,"Central Pit, CO1, E15/1190, E15/1478, E15/1500, Ghost Crab, L15/0220, L15/315, L15/316, L15/317, L15/321, M15/1000, M15/717, M15/999, Mt Marion, Mt Marion North, Mt. Marion, N06, North Pit",37174,,50.0,50,Mineral Resources Ltd.,Australia,1.4 Moderate,Operating,Active,"Lithium, Iron Ore, Spodumene, Magnesium",Lithium,924000.0,tonnes,14976.2,6/30/23,Open Pit,"-31.079900,121.431610",Exact,,,2016,2048,
Mineral Resources Limited,27871534,Public,Australia,No,Mineral Resources Limited,Bald Hill,"Bald Hill Extended, E15/1212, Fenceline, Hill End, Hills End, M15/400, Madoonia, North, R15/01, Sinc, South, South Pit, St John, West",32119,,100.0,100,Mineral Resources Ltd.,Australia,1.4 Moderate,Operating,Active,"Lithium, Tantalum, Tin, Niobium, Spodumene",Lithium,262100.0,tonnes,5549.0,4/30/18,Open Pit,"-31.519870,122.178480",Exact,,,2018,2027,
Mineral Resources Limited,27871534,Public,Australia,No,Mineral Resources Limited,Lithium Two,"CAT 3, Cat 4, Cat Lake, Eagle, FD5, Lithium 2, MB 3903",79958,,75.0,75,New Age Metals Inc.,Canada,1.4 Moderate,Target Outline,Active,"Lithium, Caesium, Rubidium, Tantalum",Lithium,7600.0,tonnes,123.2,12/31/47,Project,"50.613630,-95.464430",Exact,,,,,
Mineral Resources Limited,27871534,Public,Australia,No,Mineral Resources Limited,Lithium One,"Annie, Bernes Bay, Bird River, Clare, Greer Lake, Huron, Krista's Pond, Lithium East, Lithman East, Lithman East Extension, Lithman North, Lithman West, Lithman West Extension, Matty, Rapid, Rush Lake, Silverleaf, Tappy",78277,,75.0,75,New Age Metals Inc.,Canada,1.4 Moderate,Target Outline,Active,"Lithium, Rubidium, Tantalum, Caesium",Lithium,,,,,Project,"50.385254,-95.737294",Exact,,,,,
Mineral Resources Limited,27871534,Public,Australia,No,Mineral Resources Limited,Horse Rocks,E15/1770,90468,,85.0,100,Mineral Resources Ltd.,Australia,1.4 Moderate,Target Outline,Active,"Lithium, Tantalum, Caesium",Lithium,,,,,Project,"-31.096440,121.322430",Exact,,,,,
Minerals 260 Limited,1678149967,Public,Australia,No,Minerals 260 Limited,Nardoo,"Aston, Beryl Well, Boomerang, Cairn Hill, E09/2109, E09/2114, E09/2156, E09/2302, E09/2358, E09/2362, E09/2463, E09/2464, E09/2472, E09/2607, E09/2628, E09/2629, E09/2630, E09/2641, E09/2701, Jailor Bore Extension, Jamesons, Jamesons-Malinda, JBE, Lucky Well, Lyndon, Malinda, Mica Queen, Miru, Morrisey Hill, Morrissey South, Nardoo East, Nardoo Hill, Nardoo Hill West, Nardoo Well, New Well, Pyramid Hill, Willi Creek",76964,,100.0,100,Minerals 260 Ltd.,Australia,1.4 Moderate,Target Outline,Active,"Lithium, Tantalum, Iobium, Caesium, Lanthanum, Tin, Tungsten, Zinc, Copper, Lead, Bismuth, Beryllium, Yttrium, Neodymium, Lanthanides, Praseodymium, U308, Vanadium",Lithium,,,,,Project,"-24.505980,116.073420",Exact,,,,,
Minerals 260 Limited,1678149967,Public,Australia,No,Minerals 260 Limited,Yinnetharra,"Aston, E09/2607, E09/2608, E09/2609, E09/2628, E09/2629, E09/2630, E09/2641, E09/2701, Injinu Hills, Minga Well, Sandy Creek, Wabli Creek, Weedarra",89565,,100.0,100,Minerals 260 Ltd.,Australia,1.4 Moderate,Exploration,Active,"Lithium, Lanthanides, Thorium",Lithium,,,,,Project,"-24.678190,116.160300",Exact,,,,,
Mining Equities Pty Ltd,647942189,Private,Australia,No,Mining Equities Pty Ltd,Bouvier,,59623,,100.0,100,Mining Equities Pty Ltd,Canada,1.4 Moderate,Target Outline,Active,Lithium,Lithium,11431.0,tonnes,185.3,12/31/1979,Project,"48.451820,-78.097640",Exact,,,,,
Mitsubishi Corporation,524161,Public,Japan,No,Mitsubishi Corporation,Pakeagama Lake,"Bolt, Border, Central Intermediate, CIZ, Core, Electric Avenue, Ember, Ghost Lake, Lower Intermediate, PAK, Pakeagama South-East, Pennock, Pennock Lake, Southern Wall, Spark, Spark-Ext, Stacked Aplite, UIZ, Upper Intermediate, Wall, WZ",32088,,7.5,0,Frontier Lithium Inc.,Canada,1.4 Moderate,Feasibility Started,Active,"Lithium, Tantalum, Niobium, Tin, Rubidium, Caesium, Spodumene",Lithium,881052.0,tonnes,16086.3,2/28/23,"Open Pit, Underground","52.614525,-93.365435",Exact,,,2025,,
Monumental Energy Corp.,697348935,Public,Canada,No,Monumental Energy Corp.,Salar de Laguna Blanca,"Laguna, Laguna Blanca, Laguna Blanca Salar",89554,,75.0,75,Monumental Energy Corp.,Chile,1.8 Elevated,Target Outline,Active,"Lithium, Caesium",Lithium,,,,,Project,"-22.879660,-67.414790",Exact,,,,,
Morella Corporation Limited,7652812,Public,Australia,No,Morella Corporation Limited,Mallina,"Area C, A-Zone, Berghaus, Discovery, E47/2983, E47/3475, E47/4342, E47/4489, E47/4490, E47/4491, Eastern No.1, Eastern No.2, Eastern No.3, Eastern Pegmatite No. 2, Eastern Pegmatite No.3, Hockey, Mallina West, Millindinna, Pegmatite 2, Pegmatite 3, Poverty, Satirist, Sherlock River, Tabba Tabba, The Sisters, Wattle Plains, Withnell, Wohler",79138,,51.0,51,Morella Corp.,Australia,1.4 Moderate,Target Outline,Active,"Lithium, Gold, Copper, Zinc, Lead, Silver",Lithium,,,,,Project,"-21.052080,118.018800",Exact,,,,,
Morella Corporation Limited,7652812,Public,Australia,No,Morella Corporation Limited,Tabba Tabba,"Deep Well, E45/2364, E45/4703, E45/4716, E45/4726, E47/3802, E47/3829, E47/3950, Friendly Creek, Mount Dove, Mt Dove, Northern, Northern River, Red Rock, Roadside, Tabba Tabba East, Turley, Turley‐Roadside, West Wodgina, Wodgina West",81165,,51.0,51,Morella Corp.,Australia,1.4 Moderate,Target Outline,Active,"Lithium, Tin, Tantalum, Gold",Lithium,,,,,Project,"-20.721810,118.888380",Exact,,,,,
Morella Corporation Limited,7652812,Public,Australia,No,Morella Corporation Limited,Mt Edon,E59/2092,91783,,51.0,51,Morella Corp.,Australia,1.4 Moderate,Exploration,Active,Lithium,Lithium,,,,,Project,"-29.362050, 117.657550",Exact,,,,,
Mount Morgan Resources Ltd.,140153237,Private,Australia,No,Mount Morgan Resources Ltd.,Jean Lake,Beryl dyke B1,89946,,,0,Foremost Clean Energy Ltd.,Canada,1.4 Moderate,Target Outline,Active,"Lithium, Gold, Caesium, Tantalum, Spodumene",Lithium,,,,,Project,"54.831660,-99.734550",Exact,,,,,
Musk Metals Corp.,553085962,Public,Canada,No,Musk Metals Corp.,Elon,,89339,,100.0,100,Musk Metals Corp.,Canada,1.4 Moderate,Target Outline,Active,"Lithium, Chromium, Nickel, Gold, Silver",Lithium,,,,,Project,"48.421530,-77.793750",Exact,,,,,
Private Interest,500,NA,NA,No,Private Interest,Salar del Diablo,Rico Litio,81373,,,,NA ,Mexico,2.8 High,Target Outline,Active,Lithium,Lithium,,,,,Brine,"31.149860, -115.308960",Exact,,,,,
NOA Lithium Brines Inc.,1784865134,Public,Canada,No,NOA Lithium Brines Inc.,Rio Grande,"Alicia X, Archibarca Sur, Cintya Ines, Cristina, Juana Azul, Patagonia II, Patagonia IV, Purita, Rio Grande Salar, Sector I, Sulfax, Teresa, West Road",90509,,100.0,100,NOA Lithium Brines Inc.,Argentina,2.7 High,Advanced Exploration,Active,Lithium,Lithium,1900834.0,tonnes,30808.7,05/29/2024,Project,"-25.011620,-68.321250",Exact,,,,,
Native Mineral Resources Holdings Limited,689666025,Public,Australia,No,Native Mineral Resources Holdings Limited,McLaughlin Lake,"MEL 1028A, MEL1208A",91094,,75.0,75,Native Metals Rsrc Hldgs Ltd,Canada,1.4 Moderate,Target Outline,Active,"Lithium, Rubidium, Caesium, Tantalum, Tin",Lithium,,,,,Project,"54.756960,-95.181410",Exact,,,,,
New Age Metals Inc.,3175133,Public,Canada,No,New Age Metals Inc.,Lithium Two,"CAT 3, Cat 4, Cat Lake, Eagle, FD5, Lithium 2, MB 3903",79958,,25.0,25,New Age Metals Inc.,Canada,1.4 Moderate,Target Outline,Active,"Lithium, Caesium, Rubidium, Tantalum",Lithium,7600.0,tonnes,123.2,12/31/47,Project,"50.613630,-95.464430",Exact,,,,,
New Age Metals Inc.,3175133,Public,Canada,No,New Age Metals Inc.,Lithium One,"Annie, Bernes Bay, Bird River, Clare, Greer Lake, Huron, Krista's Pond, Lithium East, Lithman East, Lithman East Extension, Lithman North, Lithman West, Lithman West Extension, Matty, Rapid, Rush Lake, Silverleaf, Tappy",78277,,25.0,25,New Age Metals Inc.,Canada,1.4 Moderate,Target Outline,Active,"Lithium, Rubidium, Tantalum, Caesium",Lithium,,,,,Project,"50.385254,-95.737294",Exact,,,,,
New Age Metals Inc.,3175133,Public,Canada,No,New Age Metals Inc.,McLaughlin Lake,"MEL 1028A, MEL1208A",91094,,25.0,25,Native Metals Rsrc Hldgs Ltd,Canada,1.4 Moderate,Target Outline,Active,"Lithium, Rubidium, Caesium, Tantalum, Tin",Lithium,,,,,Project,"54.756960,-95.181410",Exact,,,,,
O3 Mining Inc.,613456070,Private,Canada,Yes,Agnico Eagle Mines Ltd,Corvette,"Bonoeil, Corvette-FCI, CV, CV5, Deca, Deca-Goose, FCI, Felicie, Felix, Golden, Golden East, Golden Gap, Goose, Lac Bruno, Lac de la Corvette, Lac Long, Lac Smoky Cat, Maven, Sericite, Smith-Lac Magin, Tyrone T9",79917,,,,Coloured Ties Capital Inc.,Canada,1.4 Moderate,Target Outline,Active,"Lithium, Gold, Silver, Copper, Tantalum",Lithium,,,,,Project,"53.553690,-73.929930",Exact,,,,,
Obotan Minerals Limited,13622880,Private,Ghana,No,Obotan Minerals Limited,Ewoyaa,"Abonko, Abonko NW, Abonko Quarry, Abonku, Amoanda, Anokyi, Anokyi Main, Anokyi South, Apam, Apam East, Apam West, Asan, Assan, Barari, Bewadze, Bypass, Cape Coast, Central Zone, Dog-Leg, Dwendwenbaze, Egyasimanku Hill, ELP, Ewoyaa Main, Ewoyaa NE, Ewoyaa North, Ewoyaa Northeast, Ewoyaa South, Ewoyaa South 1, Ewoyaa South 2, Ewoyaa Starter, Ewoyya, Grasscuter, Grasscutter East, Grasscutter North, Grasscutter West, Hweda, Kaampakrom, Kaampakrom North, Kaampakrom West, Krofo, Krofu, Mankessim, Mankessim South, Mankwadzi, Ndasiman, North Zone, Okwesi, Okwesi North, Okwesi South, Okwesikrom, PL.3/109, PL3/109, PL3/67, RL 3/55, RL PL3/109, RL.3/55, Saltpond, Senya Beraku, Sill, South Zone, Substation",79584,,,0,Elevra Lithium Limited,Ghana,2.5 High,Feasibility Complete,Active,"Lithium, Tin, Tantalum, Niobium, Beryllium, Gold, Caesium, Spodumene",Lithium,455000.0,tonnes,7374.6,7/30/24,Open Pit,"5.248615,-1.175696",Exact,,,2026,2038,
Oceana Lithium Limited,1777100291,Public,Canada,No,Oceana Lithium Limited,Solonopole,"800238, 800241/2016, 800306/2020, 800307/2020, 800475/2016, BJdB, BJdB Central, BJdB East, BJdB Pit, Bom Jesus de Baixo, Lapinha, Lidiane, Mina Bom Jesus de Baixo, Mina dos Porfilhos, Nira, Nira Li, Permit 800238, Permit 800306, Rolados, Soledade, Soledade West, Tin Mine, Urubu, Zilcar, Zilcar 2, Zilcar II",90443,,100.0,100,Oceana Lithium Ltd.,Brazil,2.3 Elevated,Target Outline,Active,"Lithium, Spodumene, Caesium, Tantalum",Lithium,,,,,Project,"-5.606490,-39.015420",Exact,,,,,
Oceana Lithium Limited,1777100291,Public,Canada,No,Oceana Lithium Limited,Barrow Creek,"BCL, EL 32804, Hugo Jack, Ivy, Jodys, Johannsons, Jump Up North, Tabby Cat, Taylors Creek",89288,,100.0,100,Oceana Lithium Limited,Australia,1.4 Moderate,Exploration,Active,"Lithium, Tin, Tantalum, Lanthanides",Lithium,,,,,Project,"-21.609670,133.810290",Exact,,,,,
Ophir Metals Corp.,112150186,Public,Australia,No,Ophir Metals Corp.,Pilipas,"HW1, HW2, HW3, Ninaaskumuwin",92457,,70.0,70,Ophir Metals Corp.,Canada,1.4 Moderate,Target Outline,Active,"Lithium, Spodumene",Lithium,,,,,Project,"52.614990, -77.333790",Exact,,,,,
OzAurum Resources Limited,694029139,Public,Australia,No,OzAurum Resources Limited,Boca Rica,"EP830.244/2023, EP832523/2004, EP833.631/2013, PLG830.083/2012",91638,,100.0,100,OzAurum Resources Ltd.,Brazil,2.3 Elevated,Target Outline,Active,"Lithium, Caesium, Tantalum",Lithium,,,,,Project,"-18.864140,-41.523330",Exact,https://ozaurumresources.com/brazil-projects/,,,,
POSCO Holdings Inc. -,381388,Public,South Korea,No,POSCO Holdings Inc. -,Sal de Vida,"Agostina, Augustin, Aurelio, Barrea, Centenario, Central Basin, Chachita, Delia, Don Carlos, Don Pepe, El Tordo, Fenix, Fidel, Galaxy Sal De Vida, Hombre Muerto, Juan Luis, La Redonda, Los Patos, Luna Blanca, Maktub, Maria Clara, Maria Lucia, Meme, Montserrat, North Basin, Quiero Retruco, Rodolfo, Salar, Salar del Hombre Muerto, SdHM, SDV, SDV 1, SDV 2, Sonqo, Truco",37611,,,0,Arcadium Lithium plc,Argentina,2.7 High,Construction Started,Active,"Lithium, Potash",Lithium,2901000.0,tonnes,47019.4,6/30/23,Brine,"-25.225560,-66.981870",Exact,,,2025,2065,
POSCO Holdings Inc. -,381388,Public,South Korea,No,POSCO Holdings Inc. -,Hombre Muerto North,"Alba Sabrina, Gaston Enrique, HMN, Hombre Muerto, Natalia Maria, Norma Edit, Norma Edith, Salar Hombre Muerto, Sophia I, Sophia II, Sophia III, Tramo, Viamonte, Viamonte/Natalia Maria",79236,,,0,Lithium South Dev. Corp.,Argentina,2.7 High,Prefeas/Scoping,Active,"Lithium, Potash, Borates",Lithium,640000.0,tonnes,10373.1,9/5/23,Brine,"-25.225560, -66.981870",Exact,,,2029,2054,
POSCO Holdings Inc. -,381388,Public,South Korea,No,POSCO Holdings Inc. -,Sal de Oro,,90522,,100.0,100,POSCO Holdings Inc.,Argentina,2.7 High,Advanced Exploration,Active,Lithium,Lithium,,,,,Project,"-25.220000,-67.070000",Exact,,,,,
Flagship Minerals Limited,601590970,Public,Australia,No,Flagship Minerals Limited,Reung Kiet,"Bang I Tum, BIT, BT, BT PAM, EPL 19/2565, EPLA2/2564, JSPL1, JSPL1/2562, JSPL2, JSPL3, KT East, KT West, Reung Kiet South, RK, RK North, RK PAM, RK South, RKLP, SPL 1/2562, SPL 2/2562, SPL 2562, SPL 3/2562, SPL 4/2562",83002,,100.0,100,Flagship Minerals Ltd.,Thailand,2.0 Elevated,Prefeas/Scoping,Active,"Lithium, Tin, Tantalum, Rubidium, Caesium, Potash",Lithium,66500.0,tonnes,1500.2,11/02/2023,Open Pit,"8.305560,98.394560",Exact,,,,,
Flagship Minerals Limited,601590970,Public,Australia,No,Flagship Minerals Limited,Bang Now,BNLP,87717,,100.0,100,Flagship Minerals Ltd.,Thailand,2.0 Elevated,Exploration,Active,Lithium,Lithium,,,,,Project,"9.628590,98.739700",Exact,,,,,
Patriot Battery Metals Inc.,79093186,Public,Canada,No,Patriot Battery Metals Inc.,Shaakichiuwaanaan,"Black Forrest, Bonoeil, Camp Shaakichiuwaanan, Cornerstone CV5, Corvette, Corvette East, Corvette Main, Corvette-FCI, CV, CV trends, CV10, CV12, CV13, CV14, CV4, CV5, CV6, CV8, CV9, Deca, Deca-Goose, Elsass, FCE West, FCI East, FCI West, FCI-Corvette, Felicie, Felix, Golden, Golden East, Golden Gap, Goose, Hund, JBN57, Lac Bruno, Lac de la Corvette, Lac Du Beryl, Lac Long, Lac Long Sud Showing, Lac Magin-Sud, Lac Smokycat-SO, Lorraine, Maven, New Lac Bruno, Nova, Sericite, Smith-Lac Magin, Tyrone, Tyrone-T9, Vega, West Golden Gap",36265,,100.0,100,Patriot Battery Metals Inc.,Canada,1.4 Moderate,Reserves Development,Active,"Lithium, Gold, Copper, Silver, Tantalum, Platinum, Palladium, Nickel, Cobalt, Spodumene, Caesium",Lithium,1970000.0,tonnes,37275.1,8/5/24,Project,"53.521010,-73.937740",Exact,,,2028,,
Patriot Battery Metals Inc.,79093186,Public,Canada,No,Patriot Battery Metals Inc.,Hidden Lake,"D12, HL1, HL13, HL3, HL4, HL6, HL8, HUE, K06903, K06959, K19925, K19926, K19927, LU D12, M12265, MAX",77633,,40.0,40,Loyal Lithium Ltd.,Canada,1.4 Moderate,Target Outline,Active,"Lithium, Tantalum",Lithium,,,,,Project,"62.541360,-113.429960",Exact,,,,,
Patriot Battery Metals Inc.,79093186,Public,Canada,No,Patriot Battery Metals Inc.,Corvette,"Bonoeil, Corvette-FCI, CV, CV5, Deca, Deca-Goose, FCI, Felicie, Felix, Golden, Golden East, Golden Gap, Goose, Lac Bruno, Lac de la Corvette, Lac Long, Lac Smoky Cat, Maven, Sericite, Smith-Lac Magin, Tyrone T9",79917,,,,Coloured Ties Capital Inc.,Canada,1.4 Moderate,Target Outline,Active,"Lithium, Gold, Silver, Copper, Tantalum",Lithium,,,,,Project,"53.553690,-73.929930",Exact,,,,,
Patriot Resources Limited,1805653238,Public,Australia,No,Patriot Lithium Limited,Gorman,"Chocolate Milk, G0, G1, G2",91304,,100.0,100,Patriot Lithium Ltd.,Canada,1.4 Moderate,Exploration,Active,"Lithium, Caesium, Tantalum",Lithium,,,,,Project,"53.022730, -94.244240",Exact,,,,,
Perseus Mining Limited,12436042,Public,Australia,No,Perseus Mining Limited,Sepeda,"Boticas, Carvalhais, Chaves, Limarinho, Lusidakota, MN/PP/046/12, MNPP04612, Romano",77640,,,,Perseus Mining Ltd.,Portugal,1.7 Elevated,Prefeas/Scoping,Under Litigation,"Lithium, Caesium, Tantalum, Tin, Tungsten",Lithium,103000.0,tonnes,1798.4,1/1/17,"Underground, Open Pit","41.737710,-7.727450",Exact,,,,,
Elevra Lithium Limited,11235445,Public,Australia,No,Elevra Lithium Limited,North American Lithium,"La Corne, NAL, Quebec Lithium",36505,,100.0,100,Elevra Lithium Limited,Canada,1.4 Moderate,Operating,Active,"Lithium, Spodumene",Lithium,987000.0,tonnes,15997.3,8/27/24,"Open Pit, Underground","48.410440,-77.815590",Exact,,,2013,2042,
Elevra Lithium Limited,11235445,Public,Australia,No,Elevra Lithium Limited,Ewoyaa,"Abonko, Abonko NW, Abonko Quarry, Abonku, Amoanda, Anokyi, Anokyi Main, Anokyi South, Apam, Apam East, Apam West, Asan, Assan, Barari, Bewadze, Bypass, Cape Coast, Central Zone, Dog-Leg, Dwendwenbaze, Egyasimanku Hill, ELP, Ewoyaa Main, Ewoyaa NE, Ewoyaa North, Ewoyaa Northeast, Ewoyaa South, Ewoyaa South 1, Ewoyaa South 2, Ewoyaa Starter, Ewoyya, Grasscuter, Grasscutter East, Grasscutter North, Grasscutter West, Hweda, Kaampakrom, Kaampakrom North, Kaampakrom West, Krofo, Krofu, Mankessim, Mankessim South, Mankwadzi, Ndasiman, North Zone, Okwesi, Okwesi North, Okwesi South, Okwesikrom, PL.3/109, PL3/109, PL3/67, RL 3/55, RL PL3/109, RL.3/55, Saltpond, Senya Beraku, Sill, South Zone, Substation",79584,,45.0,45,Elevra Lithium Limited,Ghana,2.5 High,Feasibility Complete,Active,"Lithium, Tin, Tantalum, Niobium, Beryllium, Gold, Caesium, Spodumene",Lithium,455000.0,tonnes,7374.6,7/30/24,Open Pit,"5.248615,-1.175696",Exact,,,2026,2038,
Elevra Lithium Limited,11235445,Public,Australia,No,Elevra Lithium Limited,Authier,"CDC 2116146, CDC 2183454, CDC 2183455, CDC 2187652, CDC 2194819, CDC 21955725, CDC 2240226, CDC 2240227, La Motte, Lamotte, NAL",29166,,100.0,100,Elevra Lithium Limited,Canada,1.4 Moderate,Preproduction - Operating,Active,"Lithium, Spodumene",Lithium,173000.0,tonnes,2804.0,3/27/23,Open Pit,"48.362070,-78.195570",Exact,,,2023,2046,
Elevra Lithium Limited,11235445,Public,Australia,No,Elevra Lithium Limited,Tansim,"Gauthier, VD, Vezina, Viau, Viau-Dallaire, Viau-Gauthier",54195,,100.0,100,Elevra Lithium Limited,Canada,1.4 Moderate,Target Outline,Active,"Lithium, Beryllium, Tantalum, Iron Ore",Lithium,,,,,Project,"47.702690,-78.724320",Exact,,,,,
Elevra Lithium Limited,11235445,Public,Australia,No,Elevra Lithium Limited,Killick,"Central Dyke, Colin's Turn Trench, Discovery Dyke, East Dyke, GHJV, Golden Hope, Grandy’s West, Hockey Stick Trench, Hydra, Hydra Dyke, Killick Dyke, Killick East, Killick Kraken, Kraken, Kraken Discovery, Kraken Main, Kraken Main Dyke, Kraken North, Kraken Northeast, Kraken West, Kraken West Dyke, Northeast Dyke, Top Pond Ridge, Triangle Pond, West Dyke, West Kraken",88311,,70.0,70,Elevra Lithium Limited,Canada,1.4 Moderate,Target Outline,Active,"Lithium, Caesium, Tantalum, Rubidium",Lithium,,,,,Project,"47.841230,-57.709780",Exact,,,,,
Pilbara Minerals Limited,222394811,Public,Australia,No,Pilbara Minerals Limited,Pilgangoora,"Altura, Central, Central pit, E45/1259, E45/2232, E45/2241, E45/2242, E45/3648, E45/4523, E45/4624, E45/4633, E45/4640, E45/4689, Eastern, Far East, Housten Creek, Lynas Find, M 4500078, M 4500333, M 4500511, M 4501256, M45/1230, M45/1231, M45/1256, M45/1259, M45/1266, M45/333, M45/511, M45/78, Monster, Monster North, P45/2783, Pilgan, South End, Triple Creek Zone, Turner West, West",51956,,100.0,100,Pilbara Minerals Ltd.,Australia,1.4 Moderate,Expansion,Active,"Lithium, Spodumene, Tantalum",Lithium,4800000.0,tonnes,88948.5,6/30/23,Open Pit,"-21.049910,118.907980",Exact,,,2018,2057,
Pilbara Minerals Limited,222394811,Public,Australia,No,Pilbara Minerals Limited,Altura,"Caravan, Cleopatra, Corboy, E 45/4894, E 45/5136, E 45/5137, E 45/5280, E 45/5347, E 45/5348, E45/2277, E45/2287, E45/2363, E45/3488, E45/5700, Forrest, Hannibal, Hazelby, Khasanah, L 45/400, L 45/401, L 45/404, L 45/409, L 45/416, L 45/448, Lucky 13, M 45/1260, M45/1230, M45/1231, Melted Caravan, Ngungaju, Perfect Stranger, Pilgangoora, Ridge, South pit, Southern Ridge, Ultra, Utara, Venta",37500,,100.0,100,Pilbara Minerals Ltd.,Australia,1.4 Moderate,Operating,Active,"Lithium, Tantalum, Iron Ore, Spodumene, Gold, Silver, Copper",Lithium,483000.0,tonnes,7828.5,6/30/19,"Open Pit, Underground, Dump, Stock Pile","-21.012960,118.910860",Exact,,,2018,2035,
Pilbara Minerals Limited,222394811,Public,Australia,No,Pilbara Minerals Limited,Pilgangoora Northeast,"E 45/4684, E45/4630, McPhees Range, Pilgangoora, Pilgangoora East",76962,,100.0,100,Altura Lithium Operations Pty,Australia,1.4 Moderate,Exploration,Active,"Lithium, Tantalum",Lithium,,,,,Project,"-20.942100,118.933120",Exact,,,,,
Pilbara Minerals Limited,222394811,Public,Australia,No,Pilbara Minerals Limited,Lynas Find,"Central Lynas Find, E45/3648, E45/4523, E45/4624, E45/4633, E45/4640, E45/4689, P45/2783, Pilgangoora",77133,,100.0,100,Pilbara Minerals Ltd.,Australia,1.4 Moderate,Reserves Development,Active,"Lithium, Tantalum, Iron Ore",Lithium,,,,,Open Pit,"-21.023940,118.925970",Exact,,,,,
